Location,male_median_salary,female_median_salary,STATE,gender_pay_gap
Walcha,21981,17717,NSW,19.39857149356262
Inverell,35753,27006,NSW,24.465079853438873
Inverell Region - East,27195,21048,NSW,22.60341974627689
Inverell Region - West,28788,21811,NSW,24.235792691399194
Tenterfield,21849,18503,NSW,15.31420202297588
Moree,34029,24736,NSW,27.309059919480443
Quirindi,33875,24193,NSW,28.581549815498153
Tamworth - East,35566,26381,NSW,25.825226339762697
Tamworth Region,40329,27123,NSW,32.745666889831135
Belmont - Bennetts Green,44101,29027,NSW,34.18063082469786
Glendale - Cardiff - Hillsborough,46795,30425,NSW,34.98236991131532
Mount Hutton - Windale,39381,27692,NSW,29.681826261395088
Redhead,45891,26018,NSW,43.30478743108671
Swansea - Caves Beach,44242,27501,NSW,37.839609420912254
Warners Bay - Boolaroo,48425,30644,NSW,36.718637067630354
Bonnells Bay - Silverwater,39707,26372,NSW,33.58349913113557
Edgeworth - Cameron Park,48797,30589,NSW,37.31376928909564
Morisset - Cooranbong,35555,23908,NSW,32.757699339052174
Wangi Wangi - Rathmines,43697,28421,NSW,34.958921665102864
Adamstown - Kotara,45402,28865,NSW,36.42350557244175
Beresfield - Hexham,38301,23563,NSW,38.47941307015483
Lambton - New Lambton,46392,31195,NSW,32.75780306949474
Maryland - Fletcher - Minmi,45567,30399,NSW,33.28724735005596
Mayfield - Warabrook,41156,28581,NSW,30.554475653610652
Merewether - The Junction,45962,27298,NSW,40.607458335146426
Newcastle - Cooks Hill,37750,25735,NSW,31.82781456953642
Waratah - North Lambton,34355,26435,NSW,23.053412894775143
Ballina Region,32084,24786,NSW,22.746540331629472
Bangalow,23061,14934,NSW,35.24131650839079
Byron Bay,12687,8878,NSW,30.022858043666744
Evans Head,34323,23392,NSW,31.84744923229321
Lennox Head - Skennars Head,31269,23123,NSW,26.051360772650227
Casino Region,34762,26560,NSW,23.59472987745239
Goonellabah,37427,28691,NSW,23.341437999305313
Kyogle,34948,24953,NSW,28.59963374155889
Lismore Region,31203,26575,NSW,14.83190718841137
Kingscliff - Fingal Head,36497,24948,NSW,31.643696742197992
Murwillumbah Region,31013,22585,NSW,27.175700512688227
Tweed Heads,30241,24013,NSW,20.59455705829834
Terranora - North Tumblegum,38339,25704,NSW,32.955997809019536
Leeton,33649,24036,NSW,28.568456714909807
Tumbarumba,34400,18225,NSW,47.020348837209305
Tumut,42193,26129,NSW,38.072666082051526
Cootamundra,24609,24145,NSW,1.8854890487220122
Gundagai,25389,17068,NSW,32.77403599984245
Temora,19880,17732,NSW,10.804828973843058
Wagga Wagga - East,37401,26025,NSW,30.416299029437717
Wagga Wagga - North,38851,25425,NSW,34.55766904326787
Wagga Wagga - South,39330,28241,NSW,28.19476226798881
Callala Bay - Currarong,37240,22406,NSW,39.83351235230935
Culburra Beach,34329,26666,NSW,22.322234845174634
Ettrema - Sassafras - Budawang,43420,15870,NSW,63.45002303086136
Huskisson - Vincentia,44938,26403,NSW,41.245716320263476
North Nowra - Bomaderry,37100,24450,NSW,34.097035040431265
St Georges Basin - Erowal Bay,35067,23586,NSW,32.74018307810762
Sussex Inlet - Berrara,33578,26338,NSW,21.561736851509917
Tomerong - Wandandian - Woollamia,41508,26710,NSW,35.650958851305774
Ulladulla Region,32281,19008,NSW,41.1170657662402
Mittagong,41013,25498,NSW,37.82946870504475
Robertson - Fitzroy Falls,40127,25271,NSW,37.02245370947242
Southern Highlands,35123,24240,NSW,30.985394186145832
West Pennant Hills,54794,32862,NSW,40.02628024966237
Castle Hill - Central,52756,36489,NSW,30.83440746076276
Castle Hill - East,59320,35273,NSW,40.53776129467296
Castle Hill - North,52545,33602,NSW,36.051003901417836
Castle Hill - West,56087,35621,NSW,36.48973915524096
Dural - Kenthurst - Wisemans Ferry,46248,29577,NSW,36.046964193046186
Bilpin - Colo - St Albans,44082,25665,NSW,41.778957397577244
Pitt Town - McGraths Hill,52453,30614,NSW,41.63536880635998
Rouse Hill - Beaumont Hills,60000,36945,NSW,38.425
Blacktown (North) - Marayong,39089,27926,NSW,28.557906316354988
Doonside - Woodcroft,41698,32280,NSW,22.58621516619502
Blacktown (South),36973,28866,NSW,21.92681145700917
Blacktown (West),37398,28044,NSW,25.01203272902294
Glenwood,54052,35232,NSW,34.81832309627766
Riverstone - Marsden Park,54708,36638,NSW,33.02990421876142
Bidwill - Hebersham - Emerton,31379,25883,NSW,17.514898498996143
Glendenning - Dean Park,47163,34367,NSW,27.131437779615375
Hassall Grove - Plumpton,43209,33935,NSW,21.46312110902821
Mount Druitt - Whalan,34067,24895,NSW,26.923415622156337
Prospect Reservoir,117883,66653,NSW,43.45834429052535
Rooty Hill - Minchinbury,43357,32753,NSW,24.457411721290683
Botany,52542,41064,NSW,21.845380838186593
Mascot - Eastlakes,32094,21414,NSW,33.277248083753975
Port Botany Industrial,51103,41560,NSW,18.674050447136175
Sydenham - Tempe - St Peters,46103,37881,NSW,17.833980435112682
Potts Point - Woolloomooloo,26538,25352,NSW,4.469063230085161
Pyrmont - Ultimo,21363,14391,NSW,32.635865749192526
Redfern - Chippendale,25128,18760,NSW,25.342247691817892
Sydney - Haymarket - The Rocks,13101,10015,NSW,23.555453782154036
Waterloo - Beaconsfield,38671,25955,NSW,32.88252178635153
Bondi - Tamarama - Bronte,35160,21467,NSW,38.9448236632537
Bondi Beach - North Bondi,27796,17203,NSW,38.109799971218884
Double Bay - Bellevue Hill,50000,31984,NSW,36.032
Dover Heights,50000,28435,NSW,43.13
Rose Bay - Vaucluse - Watsons Bay,48599,27247,NSW,43.93506039218914
Woollahra,47900,33860,NSW,29.31106471816284
Coogee - Clovelly,49000,28697,NSW,41.43469387755102
Malabar - La Perouse - Chifley,50900,35117,NSW,31.007858546168958
Maroubra - North,48384,29683,NSW,38.65120701058201
Maroubra - South,39018,28403,NSW,27.205392383002717
Chullora,47246,30166,NSW,36.151208567921095
Padstow,45063,33057,NSW,26.64270021969243
Panania - Milperra - Picnic Point,49015,34441,NSW,29.733754972967457
Bankstown - North,31065,23159,NSW,25.449863190085303
Bankstown - South,30569,21990,NSW,28.064378945991038
Canterbury (South) - Campsie,26246,23107,NSW,11.959917701745027
Punchbowl,27338,24071,NSW,11.950398712414954
Roselands,39187,29030,NSW,25.919309975246897
Lakemba,23441,22000,NSW,6.147348662599718
Narwee - Beverly Hills,39273,27880,NSW,29.009752247090876
Peakhurst - Lugarno,49641,34562,NSW,30.376100400878308
Riverwood,32000,26702,NSW,16.55625
South Hurstville - Blakehurst,30440,24266,NSW,20.28252299605782
Arncliffe - Bardwell Valley,33436,23164,NSW,30.72137815528173
Bexley,35671,28988,NSW,18.735106949622942
Kogarah Bay - Carlton - Allawah,35075,28744,NSW,18.049893086243763
Concord - Mortlake - Cabarita,53323,37200,NSW,30.236483318642986
Five Dock - Abbotsford,58109,41151,NSW,29.18308695726996
Balmain,69128,50354,NSW,27.158315009836826
Leichhardt - Annandale,55151,43258,NSW,21.564432195245782
Burwood - Croydon,25108,21450,NSW,14.569061653656204
Strathfield,23192,21140,NSW,8.847878578820282
Strathfield South,43278,32946,NSW,23.87356162484403
Chatswood (East) - Artarmon,48639,29525,NSW,39.29768292933654
St Leonards - Naremburn,75877,51843,NSW,31.674947612583527
Willoughby - Castle Cove - Northbridge,62203,35178,NSW,43.44645756635532
Berowra - Brooklyn - Cowan,59091,34275,NSW,41.99624308270295
Hornsby - West,49976,32948,NSW,34.07235473027053
Gordon - Killara,52638,31242,NSW,40.64744101219651
Turramurra,59390,32472,NSW,45.32412864118538
Crows Nest - Waverton,68335,48606,NSW,28.871003146264723
North Sydney - Lavender Bay,68686,44592,NSW,35.07847305127682
Balgowlah - Clontarf - Seaforth,58333,29558,NSW,49.32885330773319
Avalon - Palm Beach,41320,24799,NSW,39.983059051306874
Bayview - Elanora Heights,48578,26500,NSW,45.44855695994071
Newport - Bilgola,47129,28300,NSW,39.952046510641004
Cromer,52305,30514,NSW,41.66140904311251
Dee Why - North Curl Curl,39198,28643,NSW,26.927394254808917
Forestville - Killarney Heights,57164,31784,NSW,44.39857252816458
Frenchs Forest - Belrose,55000,32057,NSW,41.71454545454545
Freshwater - Brookvale,53400,32840,NSW,38.50187265917603
Manly Vale - Allambie Heights,51956,29945,NSW,42.3646932019401
Narrabeen - Collaroy,48300,30413,NSW,37.03312629399586
Terrey Hills - Duffys Forest,48305,32097,NSW,33.553462374495396
Bradbury - Wedderburn,43330,30085,NSW,30.567735979690745
Campbelltown - Woodbine,39204,28967,NSW,26.112131415161716
Macquarie Fields - Glenfield,40407,29540,NSW,26.89385502511941
Rosemeadow - Glen Alpine,42333,29814,NSW,29.572673800581107
Douglas Park - Appin,58306,32750,NSW,43.830823585908824
The Oaks - Oakdale,51463,30000,NSW,41.70569146765637
Blackheath - Megalong Valley,33305,22886,NSW,31.283591052394534
Katoomba - Leura,31366,25045,NSW,20.152394312312698
Springwood - Winmalee,53874,33704,NSW,37.439210008538446
Wentworth Falls,41742,25117,NSW,39.82799099228595
Cambridge Park,49756,32517,NSW,34.647077739368115
Castlereagh - Cranebrook,54315,33598,NSW,38.14231796004787
Emu Plains - Leonay,54980,35349,NSW,35.705711167697345
Glenmore Park - Regentville,55566,36152,NSW,34.93863153727099
Kingswood - Werrington,42843,30000,NSW,29.976892374483576
Penrith,37528,29458,NSW,21.503943722020892
Windsor - Bligh Park,47232,30681,NSW,35.041920731707314
Yarramundi - Londonderry,46552,27631,NSW,40.64487025262073
Erskine Park,51333,37965,NSW,26.04172754368535
St Clair,50883,34738,NSW,31.729654304974158
